Index    FREQ              Vmain             VMain2     
0        1.00000000e+03    3.77347875e-01    3.68380740e-01
1        1.00461579e+03    3.77347767e-01    3.68380840e-01
2        1.00925289e+03    3.77347665e-01    3.68380933e-01
3        1.01391139e+03    3.77347570e-01    3.68381020e-01
4        1.01859139e+03    3.77347480e-01    3.68381102e-01
5        1.02329299e+03    3.77347397e-01    3.68381177e-01
6        1.02801630e+03    3.77347319e-01    3.68381246e-01
7        1.03276141e+03    3.77347248e-01    3.68381310e-01
8        1.03752842e+03    3.77347183e-01    3.68381367e-01
9        1.04231743e+03    3.77347123e-01    3.68381419e-01
10       1.04712855e+03    3.77347070e-01    3.68381465e-01
11       1.05196187e+03    3.77347022e-01    3.68381505e-01
12       1.05681751e+03    3.77346981e-01    3.68381539e-01
13       1.06169556e+03    3.77346945e-01    3.68381567e-01
14       1.06659612e+03    3.77346915e-01    3.68381590e-01
15       1.07151931e+03    3.77346891e-01    3.68381607e-01
16       1.07646521e+03    3.77346872e-01    3.68381618e-01
17       1.08143395e+03    3.77346859e-01    3.68381624e-01
18       1.08642562e+03    3.77346852e-01    3.68381624e-01
19       1.09144034e+03    3.77346851e-01    3.68381618e-01
20       1.09647820e+03    3.77346855e-01    3.68381607e-01
21       1.10153931e+03    3.77346865e-01    3.68381591e-01
22       1.10662378e+03    3.77346880e-01    3.68381568e-01
23       1.11173173e+03    3.77346901e-01    3.68381541e-01
24       1.11686325e+03    3.77346928e-01    3.68381507e-01
25       1.12201845e+03    3.77346960e-01    3.68381469e-01
26       1.12719746e+03    3.77346998e-01    3.68381425e-01
27       1.13240036e+03    3.77347040e-01    3.68381375e-01
28       1.13762729e+03    3.77347089e-01    3.68381321e-01
29       1.14287833e+03    3.77347143e-01    3.68381261e-01
30       1.14815362e+03    3.77347202e-01    3.68381195e-01
31       1.15345326e+03    3.77347266e-01    3.68381125e-01
32       1.15877736e+03    3.77347336e-01    3.68381049e-01
33       1.16412603e+03    3.77347411e-01    3.68380967e-01
34       1.16949939e+03    3.77347492e-01    3.68380881e-01
35       1.17489755e+03    3.77347577e-01    3.68380790e-01
36       1.18032064e+03    3.77347668e-01    3.68380693e-01
37       1.18576875e+03    3.77347764e-01    3.68380591e-01
38       1.19124201e+03    3.77347866e-01    3.68380484e-01
39       1.19674053e+03    3.77347972e-01    3.68380372e-01
40       1.20226443e+03    3.77348083e-01    3.68380255e-01
41       1.20781384e+03    3.77348200e-01    3.68380133e-01
42       1.21338885e+03    3.77348321e-01    3.68380006e-01
