Index       FREQ             VM(F2)         VM(OUT2_LO_P)     VM(OUT2_LO_N)     VM(OUT2_HI_N)     VM(OUT2_HI_P)  
0        1.00000000e+03    4.47165494e-01    1.50121770e-01    1.50524124e-01    5.06308418e-01    5.04955043e-01
1        1.00461579e+03    4.48814522e-01    1.50675379e-01    1.51079217e-01    5.08175550e-01    5.06817183e-01
2        1.00925289e+03    4.50466557e-01    1.51229998e-01    1.51635323e-01    5.10046086e-01    5.08682720e-01
3        1.01391139e+03    4.52121572e-01    1.51785617e-01    1.52192431e-01    5.11919996e-01    5.10551621e-01
4        1.01859139e+03    4.53779537e-01    1.52342227e-01    1.52750533e-01    5.13797247e-01    5.12423854e-01
5        1.02329299e+03    4.55440424e-01    1.52899817e-01    1.53309618e-01    5.15677805e-01    5.14299386e-01
6        1.02801630e+03    4.57104202e-01    1.53458379e-01    1.53869676e-01    5.17561638e-01    5.16178182e-01
7        1.03276141e+03    4.58770842e-01    1.54017901e-01    1.54430698e-01    5.19448710e-01    5.18060211e-01
8        1.03752842e+03    4.60440313e-01    1.54578373e-01    1.54992672e-01    5.21338989e-01    5.19945437e-01
9        1.04231743e+03    4.62112585e-01    1.55139786e-01    1.55555590e-01    5.23232439e-01    5.21833825e-01
10       1.04712855e+03    4.63787627e-01    1.55702129e-01    1.56119440e-01    5.25129025e-01    5.23725341e-01
11       1.05196187e+03    4.65465407e-01    1.56265391e-01    1.56684211e-01    5.27028711e-01    5.25619950e-01
12       1.05681751e+03    4.67145894e-01    1.56829561e-01    1.57249894e-01    5.28931463e-01    5.27517615e-01
13       1.06169556e+03    4.68829055e-01    1.57394630e-01    1.57816477e-01    5.30837242e-01    5.29418301e-01
14       1.06659612e+03    4.70514859e-01    1.57960586e-01    1.58383950e-01    5.32746013e-01    5.31321970e-01
15       1.07151931e+03    4.72203272e-01    1.58527417e-01    1.58952301e-01    5.34657739e-01    5.33228585e-01
16       1.07646521e+03    4.73894262e-01    1.59095114e-01    1.59521519e-01    5.36572382e-01    5.35138110e-01
17       1.08143395e+03    4.75587794e-01    1.59663664e-01    1.60091593e-01    5.38489904e-01    5.37050507e-01
18       1.08642562e+03    4.77283835e-01    1.60233057e-01    1.60662512e-01    5.40410267e-01    5.38965736e-01
19       1.09144034e+03    4.78982351e-01    1.60803280e-01    1.61234263e-01    5.42333431e-01    5.40883760e-01
20       1.09647820e+03    4.80683307e-01    1.61374323e-01    1.61806836e-01    5.44259359e-01    5.42804540e-01
21       1.10153931e+03    4.82386668e-01    1.61946173e-01    1.62380219e-01    5.46188010e-01    5.44728035e-01
22       1.10662378e+03    4.84092400e-01    1.62518818e-01    1.62954400e-01    5.48119344e-01    5.46654207e-01
23       1.11173173e+03    4.85800465e-01    1.63092248e-01    1.63529366e-01    5.50053322e-01    5.48583015e-01
24       1.11686325e+03    4.87510829e-01    1.63666449e-01    1.64105106e-01    5.51989902e-01    5.50514418e-01
