Index       FREQ            VM(FIRST)         VM(GATE)           VM(FBK)          VM(DRAIN)          VM(F2)         VM(OUT2_HI_N)  
0        1.00000000e+03    1.96868877e+00    1.91191197e-03    1.97442509e+00    7.42767816e-04    8.80779718e-01    9.96564473e-01
1        1.00461579e+03    1.96878369e+00    1.91186671e-03    1.97452755e+00    7.42793167e-04    8.84069602e-01    1.00028684e+00
2        1.00925289e+03    1.96887765e+00    1.91182267e-03    1.97462908e+00    7.42818327e-04    8.87365280e-01    1.00401575e+00
3        1.01391139e+03    1.96897066e+00    1.91177984e-03    1.97472970e+00    7.42843296e-04    8.90666696e-01    1.00775117e+00
4        1.01859139e+03    1.96906273e+00    1.91173822e-03    1.97482941e+00    7.42868078e-04    8.93973793e-01    1.01149300e+00
5        1.02329299e+03    1.96915385e+00    1.91169780e-03    1.97492821e+00    7.42892673e-04    8.97286512e-01    1.01524120e+00
6        1.02801630e+03    1.96924405e+00    1.91165859e-03    1.97502613e+00    7.42917084e-04    9.00604795e-01    1.01899570e+00
7        1.03276141e+03    1.96933332e+00    1.91162057e-03    1.97512316e+00    7.42941313e-04    9.03928582e-01    1.02275642e+00
8        1.03752842e+03    1.96942168e+00    1.91158376e-03    1.97521932e+00    7.42965362e-04    9.07257815e-01    1.02652330e+00
9        1.04231743e+03    1.96950914e+00    1.91154813e-03    1.97531461e+00    7.42989232e-04    9.10592431e-01    1.03029628e+00
10       1.04712855e+03    1.96959569e+00    1.91151369e-03    1.97540903e+00    7.43012925e-04    9.13932370e-01    1.03407528e+00
11       1.05196187e+03    1.96968136e+00    1.91148044e-03    1.97550260e+00    7.43036443e-04    9.17277570e-01    1.03786023e+00
12       1.05681751e+03    1.96976614e+00    1.91144837e-03    1.97559533e+00    7.43059788e-04    9.20627967e-01    1.04165106e+00
13       1.06169556e+03    1.96985004e+00    1.91141748e-03    1.97568722e+00    7.43082962e-04    9.23983499e-01    1.04544770e+00
14       1.06659612e+03    1.96993308e+00    1.91138777e-03    1.97577828e+00    7.43105966e-04    9.27344100e-01    1.04925007e+00
15       1.07151931e+03    1.97001526e+00    1.91135923e-03    1.97586851e+00    7.43128802e-04    9.30709706e-01    1.05305811e+00
16       1.07646521e+03    1.97009658e+00    1.91133187e-03    1.97595793e+00    7.43151473e-04    9.34080252e-01    1.05687174e+00
17       1.08143395e+03    1.97017705e+00    1.91130567e-03    1.97604654e+00    7.43173979e-04    9.37455671e-01    1.06069088e+00
18       1.08642562e+03    1.97025669e+00    1.91128063e-03    1.97613434e+00    7.43196323e-04    9.40835895e-01    1.06451546e+00
19       1.09144034e+03    1.97033550e+00    1.91125676e-03    1.97622136e+00    7.43218506e-04    9.44220858e-01    1.06834540e+00
20       1.09647820e+03    1.97041348e+00    1.91123405e-03    1.97630758e+00    7.43240530e-04    9.47610491e-01    1.07218063e+00
21       1.10153931e+03    1.97049064e+00    1.91121250e-03    1.97639303e+00    7.43262396e-04    9.51004724e-01    1.07602106e+00
22       1.10662378e+03    1.97056699e+00    1.91119210e-03    1.97647770e+00    7.43284107e-04    9.54403488e-01    1.07986661e+00
23       1.11173173e+03    1.97064253e+00    1.91117285e-03    1.97656160e+00    7.43305663e-04    9.57806713e-01    1.08371721e+00
24       1.11686325e+03    1.97071728e+00    1.91115476e-03    1.97664474e+00    7.43327067e-04    9.61214326e-01    1.08757278e+00
25       1.12201845e+03    1.97079124e+00    1.91113781e-03    1.97672714e+00    7.43348320e-04    9.64626257e-01    1.09143324e+00
26       1.12719746e+03    1.97086442e+00    1.91112201e-03    1.97680878e+00    7.43369424e-04    9.68042432e-01    1.09529849e+00
27       1.13240036e+03    1.97093682e+00    1.91110735e-03    1.97688969e+00    7.43390380e-04    9.71462779e-01    1.09916847e+00
28       1.13762729e+03    1.97100844e+00    1.91109383e-03    1.97696986e+00    7.43411190e-04    9.74887224e-01    1.10304308e+00
29       1.14287833e+03    1.97107931e+00    1.91108146e-03    1.97704930e+00    7.43431856e-04    9.78315692e-01    1.10692224e+00
30       1.14815362e+03    1.97114941e+00    1.91107022e-03    1.97712803e+00    7.43452379e-04    9.81748107e-01    1.11080587e+00
31       1.15345326e+03    1.97121877e+00    1.91106011e-03    1.97720604e+00    7.43472760e-04    9.85184394e-01    1.11469389e+00
32       1.15877736e+03    1.97128738e+00    1.91105114e-03    1.97728334e+00    7.43493002e-04    9.88624477e-01    1.11858619e+00
33       1.16412603e+03    1.97135526e+00    1.91104330e-03    1.97735994e+00    7.43513105e-04    9.92068278e-01    1.12248271e+00
34       1.16949939e+03    1.97142240e+00    1.91103660e-03    1.97743585e+00    7.43533071e-04    9.95515719e-01    1.12638334e+00
35       1.17489755e+03    1.97148882e+00    1.91103102e-03    1.97751107e+00    7.43552902e-04    9.98966723e-01    1.13028800e+00
36       1.18032064e+03    1.97155452e+00    1.91102657e-03    1.97758561e+00    7.43572600e-04    1.00242121e+00    1.13419660e+00
37       1.18576875e+03    1.97161950e+00    1.91102324e-03    1.97765947e+00    7.43592164e-04    1.00587910e+00    1.13810906e+00
38       1.19124201e+03    1.97168378e+00    1.91102104e-03    1.97773266e+00    7.43611598e-04    1.00934031e+00    1.14202527e+00
39       1.19674053e+03    1.97174736e+00    1.91101996e-03    1.97780518e+00    7.43630903e-04    1.01280476e+00    1.14594515e+00
40       1.20226443e+03    1.97181024e+00    1.91102001e-03    1.97787705e+00    7.43650079e-04    1.01627238e+00    1.14986861e+00
41       1.20781384e+03    1.97187244e+00    1.91102117e-03    1.97794827e+00    7.43669129e-04    1.01974307e+00    1.15379554e+00
42       1.21338885e+03    1.97193395e+00    1.91102345e-03    1.97801883e+00    7.43688054e-04    1.02321675e+00    1.15772587e+00
43       1.21898960e+03    1.97199478e+00    1.91102685e-03    1.97808876e+00    7.43706855e-04    1.02669335e+00    1.16165949e+00
44       1.22461620e+03    1.97205495e+00    1.91103137e-03    1.97815805e+00    7.43725533e-04    1.03017278e+00    1.16559631e+00
45       1.23026877e+03    1.97211445e+00    1.91103700e-03    1.97822672e+00    7.43744091e-04    1.03365495e+00    1.16953624e+00
46       1.23594743e+03    1.97217329e+00    1.91104375e-03    1.97829475e+00    7.43762528e-04    1.03713977e+00    1.17347917e+00
47       1.24165231e+03    1.97223148e+00    1.91105161e-03    1.97836218e+00    7.43780848e-04    1.04062717e+00    1.17742501e+00
48       1.24738351e+03    1.97228902e+00    1.91106059e-03    1.97842898e+00    7.43799050e-04    1.04411706e+00    1.18137367e+00
49       1.25314117e+03    1.97234591e+00    1.91107068e-03    1.97849518e+00    7.43817137e-04    1.04760934e+00    1.18532504e+00
50       1.25892541e+03    1.97240217e+00    1.91108188e-03    1.97856078e+00    7.43835110e-04    1.05110394e+00    1.18927902e+00
51       1.26473635e+03    1.97245780e+00    1.91109419e-03    1.97862578e+00    7.43852969e-04    1.05460075e+00    1.19323552e+00
52       1.27057411e+03    1.97251281e+00    1.91110762e-03    1.97869020e+00    7.43870717e-04    1.05809971e+00    1.19719444e+00
53       1.27643881e+03    1.97256719e+00    1.91112215e-03    1.97875402e+00    7.43888355e-04    1.06160071e+00    1.20115567e+00
54       1.28233058e+03    1.97262096e+00    1.91113779e-03    1.97881727e+00    7.43905883e-04    1.06510366e+00    1.20511911e+00
55       1.28824955e+03    1.97267412e+00    1.91115455e-03    1.97887994e+00    7.43923303e-04    1.06860848e+00    1.20908467e+00
56       1.29419584e+03    1.97272667e+00    1.91117241e-03    1.97894204e+00    7.43940617e-04    1.07211508e+00    1.21305223e+00
57       1.30016958e+03    1.97277863e+00    1.91119138e-03    1.97900357e+00    7.43957826e-04    1.07562336e+00    1.21702170e+00
58       1.30617089e+03    1.97282999e+00    1.91121147e-03    1.97906454e+00    7.43974930e-04    1.07913324e+00    1.22099298e+00
59       1.31219990e+03    1.97288077e+00    1.91123266e-03    1.97912496e+00    7.43991931e-04    1.08264462e+00    1.22496595e+00
60       1.31825674e+03    1.97293096e+00    1.91125496e-03    1.97918483e+00    7.44008831e-04    1.08615740e+00    1.22894051e+00
61       1.32434154e+03    1.97298057e+00    1.91127837e-03    1.97924416e+00    7.44025631e-04    1.08967150e+00    1.23291657e+00
62       1.33045442e+03    1.97302961e+00    1.91130289e-03    1.97930294e+00    7.44042331e-04    1.09318682e+00    1.23689400e+00
63       1.33659552e+03    1.97307809e+00    1.91132852e-03    1.97936119e+00    7.44058933e-04    1.09670327e+00    1.24087272e+00
64       1.34276496e+03    1.97312600e+00    1.91135525e-03    1.97941891e+00    7.44075438e-04    1.10022076e+00    1.24485260e+00
65       1.34896288e+03    1.97317335e+00    1.91138310e-03    1.97947610e+00    7.44091847e-04    1.10373918e+00    1.24883354e+00
66       1.35518941e+03    1.97322015e+00    1.91141206e-03    1.97953278e+00    7.44108162e-04    1.10725845e+00    1.25281544e+00
67       1.36144468e+03    1.97326640e+00    1.91144214e-03    1.97958893e+00    7.44124383e-04    1.11077847e+00    1.25679819e+00
68       1.36772883e+03    1.97331211e+00    1.91147332e-03    1.97964458e+00    7.44140512e-04    1.11429913e+00    1.26078168e+00
69       1.37404198e+03    1.97335729e+00    1.91150561e-03    1.97969971e+00    7.44156550e-04    1.11782036e+00    1.26476579e+00
70       1.38038426e+03    1.97340192e+00    1.91153902e-03    1.97975435e+00    7.44172498e-04    1.12134204e+00    1.26875042e+00
71       1.38675583e+03    1.97344603e+00    1.91157355e-03    1.97980848e+00    7.44188357e-04    1.12486409e+00    1.27273547e+00
72       1.39315680e+03    1.97348962e+00    1.91160918e-03    1.97986213e+00    7.44204129e-04    1.12838640e+00    1.27672081e+00
73       1.39958732e+03    1.97353268e+00    1.91164594e-03    1.97991528e+00    7.44219813e-04    1.13190888e+00    1.28070634e+00
74       1.40604752e+03    1.97357524e+00    1.91168381e-03    1.97996795e+00    7.44235412e-04    1.13543142e+00    1.28469195e+00
75       1.41253754e+03    1.97361728e+00    1.91172280e-03    1.98002014e+00    7.44250927e-04    1.13895394e+00    1.28867753e+00
76       1.41905752e+03    1.97365881e+00    1.91176290e-03    1.98007185e+00    7.44266358e-04    1.14247633e+00    1.29266296e+00
77       1.42560759e+03    1.97369985e+00    1.91180413e-03    1.98012309e+00    7.44281707e-04    1.14599849e+00    1.29664814e+00
78       1.43218790e+03    1.97374039e+00    1.91184648e-03    1.98017387e+00    7.44296974e-04    1.14952032e+00    1.30063294e+00
79       1.43879858e+03    1.97378044e+00    1.91188995e-03    1.98022418e+00    7.44312161e-04    1.15304173e+00    1.30461726e+00
80       1.44543977e+03    1.97382000e+00    1.91193454e-03    1.98027403e+00    7.44327269e-04    1.15656261e+00    1.30860099e+00
81       1.45211162e+03    1.97385908e+00    1.91198027e-03    1.98032343e+00    7.44342299e-04    1.16008287e+00    1.31258400e+00
82       1.45881426e+03    1.97389768e+00    1.91202711e-03    1.98037237e+00    7.44357251e-04    1.16360239e+00    1.31656620e+00
83       1.46554784e+03    1.97393580e+00    1.91207509e-03    1.98042087e+00    7.44372128e-04    1.16712109e+00    1.32054746e+00
84       1.47231250e+03    1.97397346e+00    1.91212420e-03    1.98046893e+00    7.44386929e-04    1.17063887e+00    1.32452767e+00
85       1.47910839e+03    1.97401065e+00    1.91217444e-03    1.98051655e+00    7.44401656e-04    1.17415561e+00    1.32850671e+00
86       1.48593564e+03    1.97404738e+00    1.91222581e-03    1.98056373e+00    7.44416310e-04    1.17767122e+00    1.33248447e+00
87       1.49279441e+03    1.97408365e+00    1.91227833e-03    1.98061048e+00    7.44430892e-04    1.18118560e+00    1.33646084e+00
88       1.49968484e+03    1.97411947e+00    1.91233197e-03    1.98065681e+00    7.44445403e-04    1.18469864e+00    1.34043570e+00
89       1.50660707e+03    1.97415484e+00    1.91238676e-03    1.98070271e+00    7.44459843e-04    1.18821026e+00    1.34440894e+00
90       1.51356125e+03    1.97418977e+00    1.91244270e-03    1.98074819e+00    7.44474215e-04    1.19172033e+00    1.34838044e+00
91       1.52054753e+03    1.97422425e+00    1.91249977e-03    1.98079326e+00    7.44488518e-04    1.19522876e+00    1.35235008e+00
92       1.52756606e+03    1.97425830e+00    1.91255800e-03    1.98083792e+00    7.44502754e-04    1.19873545e+00    1.35631775e+00
93       1.53461698e+03    1.97429192e+00    1.91261737e-03    1.98088217e+00    7.44516923e-04    1.20224030e+00    1.36028334e+00
94       1.54170045e+03    1.97432511e+00    1.91267790e-03    1.98092601e+00    7.44531027e-04    1.20574320e+00    1.36424672e+00
95       1.54881662e+03    1.97435788e+00    1.91273958e-03    1.98096945e+00    7.44545067e-04    1.20924406e+00    1.36820778e+00
96       1.55596563e+03    1.97439023e+00    1.91280241e-03    1.98101250e+00    7.44559042e-04    1.21274276e+00    1.37216642e+00
97       1.56314764e+03    1.97442216e+00    1.91286641e-03    1.98105515e+00    7.44572956e-04    1.21623921e+00    1.37612250e+00
98       1.57036280e+03    1.97445367e+00    1.91293157e-03    1.98109741e+00    7.44586807e-04    1.21973330e+00    1.38007591e+00
99       1.57761127e+03    1.97448478e+00    1.91299789e-03    1.98113929e+00    7.44600598e-04    1.22322493e+00    1.38402655e+00
100      1.58489319e+03    1.97451549e+00    1.91306539e-03    1.98118078e+00    7.44614329e-04    1.22671401e+00    1.38797428e+00
101      1.59220873e+03    1.97454579e+00    1.91313405e-03    1.98122190e+00    7.44628001e-04    1.23020041e+00    1.39191900e+00
102      1.59955803e+03    1.97457570e+00    1.91320389e-03    1.98126263e+00    7.44641615e-04    1.23368405e+00    1.39586059e+00
103      1.60694125e+03    1.97460522e+00    1.91327491e-03    1.98130300e+00    7.44655172e-04    1.23716483e+00    1.39979894e+00
104      1.61435856e+03    1.97463434e+00    1.91334711e-03    1.98134300e+00    7.44668672e-04    1.24064263e+00    1.40373392e+00
105      1.62181010e+03    1.97466308e+00    1.91342049e-03    1.98138263e+00    7.44682117e-04    1.24411735e+00    1.40766542e+00
106      1.62929603e+03    1.97469144e+00    1.91349507e-03    1.98142189e+00    7.44695507e-04    1.24758890e+00    1.41159333e+00
107      1.63681652e+03    1.97471942e+00    1.91357083e-03    1.98146080e+00    7.44708843e-04    1.25105717e+00    1.41551753e+00
108      1.64437172e+03    1.97474702e+00    1.91364779e-03    1.98149935e+00    7.44722127e-04    1.25452206e+00    1.41943790e+00
109      1.65196180e+03    1.97477426e+00    1.91372594e-03    1.98153755e+00    7.44735358e-04    1.25798346e+00    1.42335433e+00
110      1.65958691e+03    1.97480113e+00    1.91380530e-03    1.98157540e+00    7.44748538e-04    1.26144128e+00    1.42726670e+00
111      1.66724721e+03    1.97482763e+00    1.91388587e-03    1.98161291e+00    7.44761668e-04    1.26489541e+00    1.43117490e+00
112      1.67494288e+03    1.97485377e+00    1.91396765e-03    1.98165007e+00    7.44774749e-04    1.26834575e+00    1.43507882e+00
113      1.68267406e+03    1.97487956e+00    1.91405064e-03    1.98168689e+00    7.44787781e-04    1.27179220e+00    1.43897833e+00
114      1.69044093e+03    1.97490499e+00    1.91413485e-03    1.98172337e+00    7.44800765e-04    1.27523466e+00    1.44287332e+00
115      1.69824365e+03    1.97493007e+00    1.91422028e-03    1.98175952e+00    7.44813701e-04    1.27867303e+00    1.44676369e+00
116      1.70608239e+03    1.97495481e+00    1.91430694e-03    1.98179534e+00    7.44826592e-04    1.28210720e+00    1.45064931e+00
